content,time,score,Location#Transportation,Location#Downtown,Location#Easy_to_find,Service#Queue,Service#Hospitality,Service#Parking,Service#Timely,Price#Level,Price#Cost_effective,Price#Discount,Ambience#Decoration,Ambience#Noise,Ambience#Space,Ambience#Sanitary,Food#Portion,Food#Taste,Food#Appearance,Food#Recommend
快递在路上停了三天,2025-06-19 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
快递给力，箱子压扁了，机器人回复，气死人,2025-03-09 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
分量很足，盒子很好看，家里人都爱吃,2025-10-13 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,正面,未提及,未提及
别买，太甜了，腻死人,2025-07-18 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,负面
漏气了，性价比超高，分量很足,2025-07-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
个头太小了，送礼有面子，不值这个钱,2025-10-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及
态度恶劣，白菜价，性价比极低,2025-09-26 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
满满一大包,2025-09-18 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
肉很多，买到就是赚到，白菜价。,2025-07-30 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
比超市贵多了，满满一大包，别买,2025-04-03 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面
太贵了，但是物流太慢了,2025-12-04 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
咸淡适中，味道刚好，态度恶劣，死贵死贵的,2025-05-24 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
肉很多，入口即化，太香了，很划算,2025-07-05 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及
分量对得起价格，太甜了，腻死人。,2024-12-30 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及
箱子压扁了，挺便宜的，发货慢吞吞,2025-05-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
根本不值，分量太少了,2025-05-10 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
根本不值，但是缺斤少两。,2025-06-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
发货慢吞吞，不过个头很大,2025-10-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
物流很快,2025-04-15 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
性价比超高，但是挺便宜的。,2025-04-16 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
服务热情,2025-06-27 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
包装太简陋，但是个头太小了,2025-11-09 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及
分量很足,2025-09-13 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
包装破损，性价比极低，以后不会再来了。,2025-08-05 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面
口感丰富，层次分明,2025-07-08 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
死贵死贵的，不过漏气了。,2025-05-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
白菜价，而且送礼有面子,2025-11-24 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
物超所值,2025-07-13 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
硬得咬不动，而且还会再来,2025-10-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面
还会再来。,2025-08-05 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
物超所值，包装严实，售后处理及时,2024-12-21 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
售后处理及时。,2025-06-23 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
机器人回复，气死人，肉很多，包装太简陋,2025-01-08 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
半天不回消息。一次性买卖,2025-09-15 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
包装精美。价格便宜,2025-10-11 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
包装太简陋，但是智商税。,2025-09-26 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
入口即化，太香了，但是包装精美,2025-07-02 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,正面,未提及,未提及
一点都不新鲜,2024-12-27 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
不推荐购买，亏了，白菜价，发货速度神速。,2025-01-10 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
无限回购,2025-05-29 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
客服很有耐心，而且发货慢吞吞,2025-03-08 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
强烈推荐，不过价格实惠,2025-01-28 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
很划算，不过一次性买卖,2025-08-17 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
太甜了，腻死人，不推荐购买，亏了，价格便宜。,2025-02-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
盒子很好看,2025-03-28 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
味道绝绝子，态度恶劣，个头太小了,2025-04-08 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及
缺斤少两，而且售后处理及时,2025-06-21 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
值得购买，不过比超市贵多了,2025-07-19 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
个头太小了，以后不会再来了，太甜了，腻死人,2025-05-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,负面
避雷,2025-08-30 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
半天不回消息，快递给力，盒子很好看,2025-08-11 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
半天不回消息，性价比超高，还会再来,2025-04-12 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
等了一个世纪，而且缺斤少两。,2025-06-27 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
个头太小了，根本不值，还会再来,2025-04-08 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
性价比超高，太甜了，腻死人，全是包装袋,2025-07-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及
售后处理及时,2025-08-13 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
客服很有耐心。无限回购。,2025-05-17 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
很划算，值得购买，包装太简陋,2025-09-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,正面
发货速度神速,2025-08-09 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
分量很足,2025-12-03 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
避雷,2025-02-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
发货慢吞吞。口感丰富，层次分明,2025-06-18 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
箱子压扁了,2025-12-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
太甜了，腻死人,2025-08-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
包装严实,2025-09-16 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格实惠，不过半天不回消息,2025-02-11 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
物超所值，但是态度恶劣,2025-03-22 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
包装严实，不值这个钱,2025-09-26 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
售后处理及时，而且买到就是赚到,2025-05-08 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
真的很好吃，比超市贵多了,2025-07-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
口感像嚼蜡,2024-12-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
客服爱答不理，快递给力，肉很多,2025-02-12 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
分量很足，半天不回消息，箱子压扁了。,2025-01-20 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
强烈推荐，包装严实，物流太慢了,2025-02-26 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面
价格实惠。很划算,2025-03-06 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
盒子很好看，个头很大，入口即化，太香了,2025-02-28 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,正面,未提及,未提及
无限回购,2025-07-10 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
机器人回复，气死人，很划算，比超市贵多了,2025-07-16 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格有点高。,2025-11-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格实惠,2025-05-21 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
个头太小了，昨天下单今天就到了，不值这个钱,2025-07-17 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
不推荐购买，亏了，半天不回消息,2024-12-24 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
强烈推荐，服务热情,2025-06-29 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
性价比极低,2025-10-30 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
全是包装袋，性价比超高，价格有点高,2025-10-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
不值这个钱，物流太慢了，避雷,2025-07-11 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
物超所值,2025-04-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
别买，个头很大,2025-02-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面
还会再来，个头太小了，客服很有耐心,2025-03-05 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
个头很大，不过不值这个钱。,2025-10-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
服务热情，箱子压扁了。,2024-12-29 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
比超市贵多了，而且缺斤少两,2025-11-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
性价比极低，包装严实，真的很好吃,2025-12-04 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,正面,未提及,未提及
发货慢吞吞,2025-07-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
半天不回消息，快递在路上停了三天，漏气了,2025-09-03 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
智商税，太甜了，腻死人,2025-01-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
半天不回消息，根本不值,2025-05-17 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
一次性买卖，包装严实，味道很怪,2025-10-31 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,负面,未提及,负面
不值这个钱，送礼有面子,2025-09-03 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
包装精美,2025-09-30 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
性价比超高，分量太少了，味道很正宗,2025-05-10 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及
性价比极低，而且价格便宜。,2025-04-27 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
发货慢吞吞。避雷。,2025-09-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
避雷,2025-08-30 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
太贵了,2025-07-12 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
买到就是赚到，无限回购,2025-03-23 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
无限回购，不过发货慢吞吞。,2025-05-03 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
挺便宜的，而且味道绝绝子,2025-09-01 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
口感像嚼蜡,2025-04-17 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
无限回购,2025-05-19 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
半天不回消息，箱子压扁了，味道很正宗,2025-11-14 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,正面,未提及,未提及
盒子很好看。强烈推荐,2025-06-03 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面
无限回购，而且缺斤少两,2025-12-04 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
很划算。硬得咬不动,2025-04-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
快递在路上停了三天，机器人回复，气死人，不值这个钱,2024-12-22 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
物流太慢了，以后不会再来了，箱子压扁了,2025-05-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面
别买，不过半天不回消息,2025-07-25 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
发货速度神速。,2025-06-29 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
物超所值，但是盒子很好看,2025-03-23 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
物流很快。盒子很好看,2025-03-31 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格实惠。发货慢吞吞,2025-04-25 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
发货慢吞吞,2025-02-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
