content,time,score,Location#Transportation,Location#Downtown,Location#Easy_to_find,Service#Queue,Service#Hospitality,Service#Parking,Service#Timely,Price#Level,Price#Cost_effective,Price#Discount,Ambience#Decoration,Ambience#Noise,Ambience#Space,Ambience#Sanitary,Food#Portion,Food#Taste,Food#Appearance,Food#Recommend
客服态度很好，性价比超高。,2025-09-25 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
一次性买卖，盒子很好看，服务热情,2025-12-07 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,负面
分量太少了，快递给力，有一股哈喇味,2025-03-04 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及
不值这个钱,2025-10-29 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
昨天下单今天就到了。分量太少了,2025-09-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
有一股哈喇味，肉很多，客服态度很好,2025-08-26 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及
物流太慢了,2025-10-12 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
咸淡适中，味道刚好。分量很足,2025-05-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及
有一股哈喇味，但是分量太少了,2025-06-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及
价格实惠，售后处理及时。,2025-06-28 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
个头太小了。客服态度很好。,2025-03-26 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
送礼有面子，而且满满一大包。,2025-02-17 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及
个头很大，别买，性价比超高,2025-01-28 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面
买到就是赚到,2025-06-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
白菜价,2025-11-02 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
真的很好吃,2025-11-28 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
值得购买，但是不值这个钱,2025-05-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
比超市贵多了，但是包装精美。,2025-12-15 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格实惠，服务热情，以后不会再来了,2025-01-24 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
包装严实，而且别买。,2025-10-31 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,负面
还会再来，发货速度神速。,2025-04-08 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
价格有点高，味道很怪，客服爱答不理。,2024-12-28 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
味道绝绝子，价格便宜，昨天下单今天就到了。,2025-08-14 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
服务热情，根本不值，漏气了,2025-07-14 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,负面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
很划算，避雷，客服很有耐心,2025-09-17 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
售后处理及时,2025-06-28 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
服务热情，而且避雷。,2025-10-11 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
售后处理及时,2025-04-16 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
买到就是赚到，但是物流太慢了,2025-06-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格便宜,2025-07-14 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
盒子很好看，而且肉很多,2025-11-08 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及
发货慢吞吞,2025-11-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
值得购买，不过挺便宜的,2025-02-24 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
有一股哈喇味,2025-12-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
味道很怪。,2025-10-31 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
不值这个钱。口感像嚼蜡。,2025-01-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
价格实惠，但是硬得咬不动,2025-04-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
价格实惠，不过很划算,2025-06-04 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
还会再来,2025-04-20 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
态度恶劣，不过性价比极低,2025-03-08 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
有一股哈喇味。避雷,2025-05-12 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,负面
太甜了，腻死人,2024-12-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
半包都是空气，发货速度神速，口感丰富，层次分明,2025-09-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及
太甜了，腻死人，服务热情,2025-07-25 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
挺便宜的，满满一大包,2025-09-23 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
比超市贵多了。家里人都爱吃,2025-12-15 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
送礼有面子，而且还会再来,2025-05-23 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面
挺便宜的，包装严实，昨天下单今天就到了,2025-02-01 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
客服爱答不理，有一股哈喇味,2025-08-07 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
根本不值,2025-04-25 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
根本不值，客服态度很好，挺便宜的,2025-12-12 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
发货速度神速,2025-03-18 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
包装太简陋，发货慢吞吞，分量对得起价格。,2025-05-03 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
服务热情，不推荐购买，亏了，比超市贵多了,2025-05-04 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
死贵死贵的,2025-09-12 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
不推荐购买，亏了，而且还会再来,2025-04-17 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
半天不回消息,2025-01-10 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
避雷，包装太简陋，分量太少了,2025-02-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,负面
太贵了,2025-07-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
个头太小了，而且快递给力,2025-06-15 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
性价比超高，包装严实,2025-03-25 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
箱子压扁了，但是分量太少了,2025-01-18 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及
太难吃了，不过死贵死贵的,2025-08-09 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
一点都不新鲜，价格便宜，物流太慢了,2025-05-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
味道很正宗，死贵死贵的，客服很有耐心,2025-05-26 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
客服爱答不理，价格便宜,2025-05-02 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
快递在路上停了三天。,2025-04-01 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
盒子很好看，根本不值，白菜价,2025-08-25 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
口感像嚼蜡,2025-08-20 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
很划算。,2025-05-30 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
买到就是赚到,2025-08-23 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
咸淡适中，味道刚好，客服态度很好，价格便宜,2025-10-23 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
死贵死贵的，而且强烈推荐,2025-10-09 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
咸淡适中，味道刚好,2024-12-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
客服很有耐心。,2025-06-15 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
缺斤少两。还会再来,2025-03-08 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
机器人回复，气死人。性价比极低,2025-02-27 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
别买,2025-04-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
强烈推荐，而且等了一个世纪,2025-08-08 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
死贵死贵的。,2025-07-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
快递在路上停了三天，买到就是赚到，无限回购,2025-06-21 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
避雷,2025-06-05 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
服务热情。,2025-03-07 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
价格有点高，缺斤少两，售后处理及时。,2025-06-26 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
客服很有耐心,2025-05-05 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
值得购买，有一股哈喇味，物超所值,2025-03-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面
口感像嚼蜡，客服爱答不理，不值这个钱,2025-07-22 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
物流很快，性价比超高，味道很正宗,2025-05-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
挺便宜的。昨天下单今天就到了,2025-12-11 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
有一股哈喇味,2025-08-28 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
分量很足，比超市贵多了，还会再来,2025-05-16 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面
咸淡适中，味道刚好，快递给力，半天不回消息,2025-11-17 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及
无限回购,2025-09-03 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
半包都是空气，发货速度神速，半天不回消息,2025-10-10 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
不推荐购买，亏了，半天不回消息,2025-09-07 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
缺斤少两，死贵死贵的，发货慢吞吞。,2025-11-22 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及
昨天下单今天就到了，价格有点高,2025-03-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
分量很足，不过价格便宜,2025-06-24 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及
半包都是空气，包装严实，性价比超高。,2025-07-05 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及
半天不回消息，智商税，包装精美,2025-06-15 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
硬得咬不动，而且不推荐购买，亏了,2025-12-11 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
送礼有面子，而且值得购买,2025-04-07 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,正面
太难吃了，包装精美，满满一大包,2025-08-28 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,负面,未提及,未提及
态度恶劣。,2024-12-16 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
别买，态度恶劣，物超所值,2025-03-05 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
客服爱答不理，盒子很好看，价格便宜,2025-01-13 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
以后不会再来了。盒子很好看,2025-12-06 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,负面
买到就是赚到，发货慢吞吞，别买,2025-04-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
根本不值,2025-03-23 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
一次性买卖,2025-07-05 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
分量对得起价格。漏气了,2025-06-09 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,正面,未提及,未提及,未提及
售后处理及时，不过箱子压扁了,2025-04-26 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
送礼有面子,2025-04-05 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
强烈推荐，物流很快，性价比极低,2025-11-17 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面
售后处理及时,2025-05-17 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
硬得咬不动，客服态度很好，智商税,2025-10-13 20:21:58,1,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
等了一个世纪,2025-09-09 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
盒子很好看,2025-11-08 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及
服务热情，白菜价，性价比超高,2025-08-08 20:21:58,5,未提及,未提及,未提及,未提及,正面,未提及,未提及,正面,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
满满一大包，不过送礼有面子,2025-09-26 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,正面,未提及,未提及,未提及
无限回购，但是半包都是空气,2025-10-15 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
挺便宜的,2025-02-02 20:21:58,5,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
一次性买卖,2025-10-24 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面
半天不回消息,2025-12-14 20:21:58,1,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及
性价比超高，半包都是空气，强烈推荐,2025-06-12 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,正面,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,正面
硬得咬不动，而且等了一个世纪,2025-04-02 20:21:58,1,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及,未提及,未提及,未提及,未提及,未提及,未提及,负面,未提及,未提及
