content,time,score,product_color
总体还行，习惯性好评。,2024-12-09 08:56:00,5,香辣味 200g
总体还行，习惯性好评。,2024-12-06 14:44:00,5,原味 200g
京东用户： 独立小包装非常方便，出门带着刚好。,2024-12-16 12:13:00,3,原味 200g
京东用户： 包装太简陋了，连个泡沫垫都没有。 (此评价来自京东Android客户端),2024-12-20 14:03:00,3,原味 200g
包装很精美，送人很有面子。,2024-12-06 08:38:00,2,蜜汁味 500g
包装很精美，送人很有面子。,2024-12-25 20:33:00,3,香辣味 200g
京东用户： 中规中矩吧，没有想象中那么好。,2024-12-28 14:37:00,3,原味 200g
搞活动买的，特别划算，比超市便宜多了。,2024-12-20 10:19:00,1,蜜汁味 500g
价格有点贵，一包没多少，性价比不高。,2024-12-22 05:37:00,5,蜜汁味 500g
京东用户： 包装很精美，送人很有面子。,2024-12-27 11:28:00,5,蜜汁味 500g
京东用户： 客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-12 18:30:00,1,蜜汁味 500g
京东用户： 量大实惠，满满一大箱，够吃很久了。,2024-12-13 16:46:00,5,香辣味 200g
京东用户： 发货太慢了，等了三天还是待发货状态。 (此评价来自京东Android客户端),2024-12-04 00:24:00,5,蜜汁味 500g
独立小包装非常方便，出门带着刚好。,2024-12-05 09:24:00,1,香辣味 200g
京东用户： 非常好吃，已经是第三次回购了，推荐大家购买。,2024-12-26 05:28:00,5,香辣味 200g
京东物流就是快，昨天下单今天就到了！ (此评价来自京东Android客户端),2024-12-22 08:10:00,5,原味 200g
京东用户： 搞活动买的，特别划算，比超市便宜多了。,2024-12-23 04:17:00,5,香辣味 200g
京东用户： 很失望的一次购物，以后不会再买了。,2024-12-08 09:26:00,5,香辣味 200g
太硬了，要把牙崩掉了，根本咬不动！,2024-12-15 12:22:00,5,蜜汁味 500g
快递员态度很差，直接扔在驿站也不打电话。,2024-12-27 12:13:00,5,香辣味 200g
很失望的一次购物，以后不会再买了。,2024-12-11 06:35:00,2,原味 200g
京东物流就是快，昨天下单今天就到了！ (此评价来自京东Android客户端),2024-12-26 14:54:00,5,香辣味 200g
搞活动买的，特别划算，比超市便宜多了。,2024-12-19 09:23:00,5,香辣味 200g
京东用户： 包装太简陋了，连个泡沫垫都没有。 (此评价来自京东Android客户端),2024-12-28 04:28:00,3,蜜汁味 500g
独立小包装非常方便，出门带着刚好。 (此评价来自京东Android客户端),2024-12-25 04:10:00,1,原味 200g
京东用户： 客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-16 13:43:00,1,香辣味 200g
包装破损了，箱子都压扁了，里面的肉铺碎了一地。 (此评价来自京东Android客户端),2024-12-18 21:30:00,5,香辣味 200g
客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-24 05:45:00,5,蜜汁味 500g
非常好吃，已经是第三次回购了，推荐大家购买。,2024-12-08 02:36:00,3,原味 200g
价格有点贵，一包没多少，性价比不高。,2024-12-12 02:50:00,2,蜜汁味 500g
中规中矩吧，没有想象中那么好。,2024-12-26 17:59:00,5,蜜汁味 500g
京东用户： 搞活动买的，特别划算，比超市便宜多了。,2024-12-27 19:49:00,5,香辣味 200g
京东用户： 中规中矩吧，没有想象中那么好。 (此评价来自京东Android客户端),2024-12-18 12:53:00,5,蜜汁味 500g
京东用户： 太贵了，不推荐，同类产品里算最贵的。,2024-12-18 23:23:00,2,香辣味 200g
包装很精美，送人很有面子。,2024-12-29 04:34:00,1,蜜汁味 500g
京东用户： 很失望的一次购物，以后不会再买了。,2024-12-15 02:37:00,3,蜜汁味 500g
非常好吃，已经是第三次回购了，推荐大家购买。 (此评价来自京东Android客户端),2024-12-19 14:30:00,5,香辣味 200g
包装破损了，箱子都压扁了，里面的肉铺碎了一地。,2024-12-09 10:35:00,1,蜜汁味 500g
太贵了，不推荐，同类产品里算最贵的。 (此评价来自京东Android客户端),2024-12-20 03:39:00,5,蜜汁味 500g
发货太慢了，等了三天还是待发货状态。,2024-12-09 21:17:00,5,原味 200g
京东用户： 太贵了，不推荐，同类产品里算最贵的。 (此评价来自京东Android客户端),2024-12-14 08:49:00,3,蜜汁味 500g
包装太简陋了，连个泡沫垫都没有。,2024-12-04 20:17:00,5,蜜汁味 500g
搞活动买的，特别划算，比超市便宜多了。,2024-12-13 23:34:00,3,香辣味 200g
总体还行，习惯性好评。,2024-12-02 05:58:00,2,香辣味 200g
京东用户： 包装很精美，送人很有面子。,2024-12-09 07:43:00,3,香辣味 200g
京东用户： 非常好吃，已经是第三次回购了，推荐大家购买。,2024-12-16 16:10:00,1,蜜汁味 500g
京东用户： 还可以，凑单买的。 (此评价来自京东Android客户端),2024-12-19 21:55:00,2,原味 200g
京东用户： 虽然贵了点，但是品质确实好，值这个价。,2024-12-04 06:01:00,5,香辣味 200g
京东用户： 发货太慢了，等了三天还是待发货状态。,2024-12-23 12:51:00,2,香辣味 200g
京东用户： 虽然贵了点，但是品质确实好，值这个价。,2024-12-02 21:22:00,1,原味 200g
价格有点贵，一包没多少，性价比不高。,2024-12-08 07:02:00,5,蜜汁味 500g
京东用户： 快递员态度很差，直接扔在驿站也不打电话。,2024-12-16 16:32:00,5,香辣味 200g
京东用户： 味道不错，孩子很喜欢吃，甜而不腻。,2024-12-06 10:32:00,3,香辣味 200g
京东用户： 太贵了，不推荐，同类产品里算最贵的。 (此评价来自京东Android客户端),2024-12-06 05:28:00,1,香辣味 200g
京东用户： 太硬了，要把牙崩掉了，根本咬不动！,2024-12-22 18:02:00,1,香辣味 200g
京东物流就是快，昨天下单今天就到了！,2024-12-08 11:21:00,1,原味 200g
客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-13 23:08:00,1,香辣味 200g
京东用户： 吃起来有一股怪味，感觉不新鲜，避雷。,2024-12-03 02:29:00,5,原味 200g
京东用户： 太硬了，要把牙崩掉了，根本咬不动！,2024-12-22 05:18:00,5,蜜汁味 500g
独立小包装非常方便，出门带着刚好。 (此评价来自京东Android客户端),2024-12-07 18:21:00,1,原味 200g
京东用户： 客服解决问题很及时，点赞。,2024-12-19 13:59:00,5,原味 200g
中规中矩吧，没有想象中那么好。,2024-12-02 20:27:00,5,香辣味 200g
还可以，凑单买的。,2024-12-28 23:54:00,5,原味 200g
总体还行，习惯性好评。 (此评价来自京东Android客户端),2024-12-19 10:56:00,1,香辣味 200g
吃起来有一股怪味，感觉不新鲜，避雷。 (此评价来自京东Android客户端),2024-12-29 00:28:00,3,蜜汁味 500g
客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-20 20:10:00,5,蜜汁味 500g
太硬了，要把牙崩掉了，根本咬不动！,2024-12-29 04:32:00,5,蜜汁味 500g
京东用户： 价格有点贵，一包没多少，性价比不高。,2024-12-16 22:25:00,5,香辣味 200g
价格有点贵，一包没多少，性价比不高。,2024-12-16 00:41:00,5,蜜汁味 500g
京东用户： 很失望的一次购物，以后不会再买了。,2024-12-15 23:42:00,5,香辣味 200g
非常好吃，已经是第三次回购了，推荐大家购买。,2024-12-06 19:33:00,5,香辣味 200g
京东用户： 虽然贵了点，但是品质确实好，值这个价。,2024-12-08 09:16:00,2,香辣味 200g
京东用户： 搞活动买的，特别划算，比超市便宜多了。 (此评价来自京东Android客户端),2024-12-18 00:45:00,5,香辣味 200g
京东用户： 独立小包装非常方便，出门带着刚好。,2024-12-22 21:24:00,5,香辣味 200g
虽然贵了点，但是品质确实好，值这个价。,2024-12-26 14:40:00,5,蜜汁味 500g
京东用户： 中规中矩吧，没有想象中那么好。 (此评价来自京东Android客户端),2024-12-12 18:18:00,5,原味 200g
京东用户： 虽然贵了点，但是品质确实好，值这个价。 (此评价来自京东Android客户端),2024-12-05 16:17:00,5,原味 200g
发货太慢了，等了三天还是待发货状态。 (此评价来自京东Android客户端),2024-12-09 01:05:00,5,原味 200g
口感很好，全是肉纤维，咸香适中。,2024-12-16 09:03:00,1,香辣味 200g
价格有点贵，一包没多少，性价比不高。 (此评价来自京东Android客户端),2024-12-22 12:00:00,5,原味 200g
包装很精美，送人很有面子。 (此评价来自京东Android客户端),2024-12-23 04:26:00,5,原味 200g
京东物流就是快，昨天下单今天就到了！,2024-12-10 22:37:00,5,蜜汁味 500g
京东用户： 总体还行，习惯性好评。,2024-12-16 03:33:00,5,香辣味 200g
京东用户： 还可以，凑单买的。 (此评价来自京东Android客户端),2024-12-25 05:38:00,1,蜜汁味 500g
京东用户： 包装太简陋了，连个泡沫垫都没有。,2024-12-21 20:13:00,5,香辣味 200g
京东用户： 发货太慢了，等了三天还是待发货状态。,2024-12-09 08:31:00,1,原味 200g
京东用户： 客服解决问题很及时，点赞。 (此评价来自京东Android客户端),2024-12-13 15:17:00,5,蜜汁味 500g
京东用户： 量大实惠，满满一大箱，够吃很久了。,2024-12-26 20:35:00,1,香辣味 200g
京东用户： 总体还行，习惯性好评。 (此评价来自京东Android客户端),2024-12-12 03:31:00,5,蜜汁味 500g
京东用户： 独立小包装非常方便，出门带着刚好。,2024-12-12 02:34:00,1,蜜汁味 500g
京东用户： 包装很精美，送人很有面子。,2024-12-15 13:19:00,5,蜜汁味 500g
味道不错，孩子很喜欢吃，甜而不腻。,2024-12-23 02:41:00,3,香辣味 200g
京东用户： 独立小包装非常方便，出门带着刚好。 (此评价来自京东Android客户端),2024-12-09 20:56:00,1,原味 200g
中规中矩吧，没有想象中那么好。 (此评价来自京东Android客户端),2024-12-19 08:28:00,5,蜜汁味 500g
京东用户： 很失望的一次购物，以后不会再买了。,2024-12-02 12:43:00,5,蜜汁味 500g
京东用户： 还可以，凑单买的。,2024-12-09 23:44:00,5,香辣味 200g
京东用户： 价格有点贵，一包没多少，性价比不高。 (此评价来自京东Android客户端),2024-12-02 07:17:00,5,蜜汁味 500g
搞活动买的，特别划算，比超市便宜多了。 (此评价来自京东Android客户端),2024-12-14 02:38:00,1,蜜汁味 500g
量大实惠，满满一大箱，够吃很久了。,2024-12-28 18:19:00,1,蜜汁味 500g
京东用户： 发货太慢了，等了三天还是待发货状态。,2024-12-27 20:47:00,1,蜜汁味 500g
